,Host,Log_Name1,Log_Name,Date_Time,Method,Response_Code,Bytes_Sent,URL,User_Agent,id,Rank,time_diff,year,month,day,hour,date,day_of_week,dif_seg_clicks
315,1.0.177.61,-,-,2015-10-07 06:57:51,GET /access.log HTTP/1.1,200,575,http://www.veterina.jemnice.cz/,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0,2015-10-07 06:57:51200http://www.veterina.jemnice.cz/,1.0,0 days 00:00:00.000000000,2015,10,7,6,2015-10-07,Miercoles,1
374,1.0.183.8,-,-,2015-10-07 10:17:11,GET /access.log HTTP/1.1,200,14512,http://www.veterina.jemnice.cz/,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0,2015-10-07 10:17:11200http://www.veterina.jemnice.cz/,1.0,0 days 00:00:00.000000000,2015,10,7,10,2015-10-07,Miercoles,1
359,1.0.188.115,-,-,2015-10-07 09:29:27,GET /access.log HTTP/1.1,200,11275,http://www.veterina.jemnice.cz/,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0,2015-10-07 09:29:27200http://www.veterina.jemnice.cz/,1.0,0 days 00:00:00.000000000,2015,10,7,9,2015-10-07,Miercoles,1
329,1.0.188.33,-,-,2015-10-07 08:21:54,GET /access.log HTTP/1.1,200,3824,http://www.veterina.jemnice.cz/,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0,2015-10-07 08:21:54200http://www.veterina.jemnice.cz/,1.0,0 days 00:00:00.000000000,2015,10,7,8,2015-10-07,Miercoles,1
485,1.0.189.107,-,-,2015-10-07 16:41:43,GET /access.log HTTP/1.1,200,39512,http://www.veterina.jemnice.cz/,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0,2015-10-07 16:41:43200http://www.veterina.jemnice.cz/,1.0,0 days 00:00:00.000000000,2015,10,7,16,2015-10-07,Miercoles,1
405,1.0.189.157,-,-,2015-10-07 12:56:22,GET /access.log HTTP/1.1,200,20507,http://www.veterina.jemnice.cz/,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0,2015-10-07 12:56:22200http://www.veterina.jemnice.cz/,1.0,0 days 00:00:00.000000000,2015,10,7,12,2015-10-07,Miercoles,1
457,1.0.189.186,-,-,2015-10-07 15:25:24,GET /access.log HTTP/1.1,200,32342,http://www.veterina.jemnice.cz/,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0,2015-10-07 15:25:24200http://www.veterina.jemnice.cz/,1.0,0 days 00:00:00.000000000,2015,10,7,15,2015-10-07,Miercoles,1
433,1.0.189.246,-,-,2015-10-07 14:21:26,GET /access.log HTTP/1.1,200,25927,http://www.veterina.jemnice.cz/,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0,2015-10-07 14:21:26200http://www.veterina.jemnice.cz/,1.0,0 days 00:00:00.000000000,2015,10,7,14,2015-10-07,Miercoles,1
460,1.0.191.9,-,-,2015-10-07 16:28:17,GET /access.log HTTP/1.1,200,32922,http://www.veterina.jemnice.cz/,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0,2015-10-07 16:28:17200http://www.veterina.jemnice.cz/,1.0,0 days 00:00:00.000000000,2015,10,7,16,2015-10-07,Miercoles,1
2742,1.1.1.1,-,-,2004-06-19 19:18:08,GET /~jan/WebSVN/filedetails.php?repname=Public&path=/payment_server/vgts_mod/vgts_vt_cc/stable/modules/mod_vt_cc.pl&rev=0&sc=1 HTTP/1.0,200,386749,http://localhost/~jan/WebSVN/listing.php?repname=Public&path=/payment_server/vgts_mod/vgts_vt_cc/stable/modules/&rev=0&sc=1,Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040618 Firefox/0.9,2004-06-19 19:18:08200http://localhost/~jan/WebSVN/listing.php?repname=Public&path=/payment_server/vgts_mod/vgts_vt_cc/stable/modules/&rev=0&sc=1,1.0,0 days 00:00:00.000000000,2004,6,19,19,2004-06-19,Sabado,1
